Post code,Arrondissement name (Dutch),Arrondissement name (French)
6721,,Virton
6767,,Virton
1934,Halle-Vilvoorde,Hal-Vilvorde
3018,Leuven,
3201,Leuven,
3360,Leuven,
3080,Leuven,
3380,Leuven,
1651,Halle-Vilvoorde,Hal-Vilvorde
9921,Gent,
9931,Gent,
4170,,Liège
4400,,Liège
4122,,Liège
4121,,Liège
4099,,Liège
4631,,Liège
4890,,Verviers
4470,,Waremme
7542,Doornik en Moeskroen,Tournai et Mouscron
7331,,Mons
7600,Doornik en Moeskroen,Tournai et Mouscron
6111,,Charleroi
6040,,Charleroi
7520,Doornik en Moeskroen,Tournai et Mouscron
1341,,Nivelles
1350,,Nivelles
2242,Antwerpen,
2850,Antwerpen,
2491,Turnhout,
2480,Turnhout,
3470,Leuven,
9404,Aalst,
9840,Gent,
9506,Aalst,
9160,Sint-Niklaas,
9900,Eeklo,
4420,,Liège
6150,,Thuin
7610,Doornik en Moeskroen,Tournai et Mouscron
7522,Doornik en Moeskroen,Tournai et Mouscron
7370,,Mons
7602,Doornik en Moeskroen,Tournai et Mouscron
6010,,Charleroi
7321,Aat,Ath
7906,Doornik en Moeskroen,Tournai et Mouscron
7608,Doornik en Moeskroen,Tournai et Mouscron
1315,,Nivelles
1473,,Nivelles
2280,Turnhout,
2040,Antwerpen,
4287,,Waremme
4620,,Liège
4217,,Huy
5372,,Dinant
5354,,Namur
5021,,Namur
3790,Tongeren,Tongres
3900,Maaseik,
8433,Oostende,
8583,Kortrijk,Courtrai
8810,Roeselare,
8870,Roeselare,
6673,,Bastogne
6681,,Bastogne
6690,,Bastogne
6792,,Arlon
6833,,Neufchâteau
1770,Halle-Vilvoorde,Hal-Vilvorde
3473,Leuven,
3020,Leuven,
1981,Halle-Vilvoorde,Hal-Vilvorde
5003,,Namur
5340,,Namur
6661,,Bastogne
1701,Halle-Vilvoorde,Hal-Vilvorde
9310,Aalst,
9042,Gent,
9520,Aalst,
9552,Aalst,
4728,,Verviers
4520,,Huy
4987,,Verviers
4557,,Huy
7130,,La Louvière
7503,Doornik en Moeskroen,Tournai et Mouscron
7622,Doornik en Moeskroen,Tournai et Mouscron
7603,Doornik en Moeskroen,Tournai et Mouscron
7041,,Mons
1170,Brussel-Hoofdstad,Bruxelles-Capitale
1332,,Nivelles
1435,,Nivelles
1471,,Nivelles
1480,,Nivelles
2300,Turnhout,
2322,,
2370,Turnhout,
2243,Antwerpen,
2160,Antwerpen,
5300,,Namur
5544,,Dinant
5004,,Namur
3806,Hasselt,
8530,Kortrijk,Courtrai
8900,Ieper,Ypres
8930,Kortrijk,Courtrai
6680,,Bastogne
6704,,Arlon
6740,,Virton
3400,Leuven,
1800,Halle-Vilvoorde,Hal-Vilvorde
1840,Halle-Vilvoorde,Hal-Vilvorde
